"Source:","C:\Users\aluno\Documents\GitHub\agoritmi_foc_smartknob\algoritmi_pcb\algoritmi_kicad\algoritmi_foc.kicad_sch"
"Date:","7/31/2024 11:25:34 AM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","35"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","Link","Manufacturer_Name","Manufacturer_Part_Number","Mouser","Mouser Part Number","Mouser Price/Stock"
"1","4","C1, C2, C3, C4","100nF 50V",":CL10B104KB8NNWC_1","CAPC1608X90N","http://www.samsungsem.com/kr/support/product-search/mlcc/CL10B104KB8NNWC.jsp","","0.9","","SAMSUNG","CL10B104KB8NNWC","","187-CL10B104KB8NNWC","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL10B104KB8NNWC?qs=EvNa9vf1TdYOAZGBJN%252BGRQ%3D%3D"
"2","1","C5","10uF 25V",":CL21A106KAYNNNE_1","CAPC2012X145N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/6a45835c9b7400e9b49c55c38a8ff4a2.pdf","","1.45","","SAMSUNG","CL21A106KAYNNNE","","187-CL21A106KAYNNNE","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL21A106KAYNNNE?qs=yOVawPpwOwmTXAd4dJtNjA%3D%3D"
"3","1","C6","1uF","SamacSys_Parts:CL10A105KA8NNNC","CAPC1608X90N","","","0.9","","SAMSUNG","CL10A105KA8NNNC","","187-CL10A105KA8NNNC","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL10A105KA8NNNC?qs=hqM3L16%252BxldY%252BnK4KzDJVg%3D%3D"
"4","2","C7, C8","4.7uF 25V",":GCM21BC71E475KE36K_1","CAPC2012X140N","https://psearch.en.murata.com/capacitor/product/GCM21BC71E475KE36%23.html","","1.4","","Murata Electronics","GCM21BC71E475KE36K","","81-GCM21BC71E475KE6K","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GCM21BC71E475KE36K?qs=dNBNMwHp2UBfaO4Bu7xrag%3D%3D"
"5","1","C9","10uF 25V","SamacSys_Parts:CL21A106KAYNNNE","CAPC2012X145N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/6a45835c9b7400e9b49c55c38a8ff4a2.pdf","","1.45","","SAMSUNG","CL21A106KAYNNNE","","187-CL21A106KAYNNNE","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL21A106KAYNNNE?qs=yOVawPpwOwmTXAd4dJtNjA%3D%3D"
"6","1","D1","STDBY",":SML-D12M8WT86_2","LEDM1620X150N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/f235664866caa647598714bb71411137.pdf","","1.5","","ROHM Semiconductor","SML-D12M8WT86","","755-SML-D12M8WT86","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/SML-D12M8WT86?qs=4kLU8WoGk0vGWtDreJ93zQ%3D%3D"
"7","1","D2","ERROR",":SML-D12M8WT86_1","LEDM1620X150N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/f235664866caa647598714bb71411137.pdf","","1.5","","ROHM Semiconductor","SML-D12M8WT86","","755-SML-D12M8WT86","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/SML-D12M8WT86?qs=4kLU8WoGk0vGWtDreJ93zQ%3D%3D"
"8","1","IC1","MA710GQ-Z","SamacSys_Parts:MA710GQ-Z","QFN50P300X300X100-17N-D","","","1","","Monolithic Power Systems (MPS)","MA710GQ-Z","","946-MA710GQ-Z","https://www.mouser.co.uk/ProductDetail/Monolithic-Power-Systems-MPS/MA710GQ-Z?qs=YCa%2FAAYMW008m2sVybM2dg%3D%3D"
"9","1","IC2","AP2114HA-3.3TRG1","SamacSys_Parts:AP2114HA-3.3TRG1","SOT230P700X180-4N","https://www.diodes.com//assets/Datasheets/AP2114.pdf","","1.8","","Diodes Incorporated","AP2114HA-3.3TRG1","","621-AP2114HA-3.3TRG1","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AP2114HA-3.3TRG1?qs=M%2FOdCRO8QQ3KWhA9Gt6VoQ%3D%3D"
"10","1","J1","~","solder_pad:solder_pad_2mm_8","solder_pads:solder_pads_2mm_8","","","","","","","","",""
"11","1","J2","53261-0371","SamacSys_Parts:53261-0371","532610371","","","3.6","","Molex","53261-0371","","538-53261-0371","https://www.mouser.co.uk/ProductDetail/Molex/53261-0371?qs=%252B72YyncTwW%252BTQBxAO1kJjA%3D%3D"
"12","1","J3","SMM-115-02-S-D-LC-K-TR","SamacSys_Parts:SMM-115-02-S-D-LC-K-TR","SMM11502SDLCKTR","https://suddendocs.samtec.com/prints/smm-1xx-xx-xx-d-xx-xx-x-xx-mkt.pdf","","3.81","","SAMTEC","SMM-115-02-S-D-LC-K-TR","","200-SMM11502SDLCKTR","https://www.mouser.co.uk/ProductDetail/Samtec/SMM-115-02-S-D-LC-K-TR?qs=Cqqh%252BS766wmCL5XLNTE7Jg%3D%3D"
"13","4","MSW1, MSW2, MSW3, MSW4","~","solder_pad:solder_pad_4mm_3","solder_pads:solder_pads_4mm_3","","","","https://pt.mouser.com/ProductDetail/Saia-Burgess/XCF3Z1?qs=lDMevKbHVysAJU%252Bj62uRPA%3D%3D","","","906-XCF3Z1 ","",""
"14","2","R1, R2","300R",":ERJ-UP3F3000V_1","ERJUP3","https://industrial.panasonic.com/cdbs/www-data/pdf/RDP0000/AOA0000C337.pdf","","0.55","","Panasonic","ERJ-UP3F3000V","","667-ERJ-UP3F3000V","https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-UP3F3000V?qs=GedFDFLaBXGMAT9BybhSQA%3D%3D"
"15","2","R3, R4","150m",":UR73VH2BTTDR150F_1","RESC3216X70N","https://www.koaspeer.com/pdfs/UR73V.pdf","","0.7","","KOA Speer","UR73VH2BTTDR150F","","",""
"16","6","R5, R6, R7, R8, R9, R10","100K",":CMP0603-FX-1003ELF_1","RESC1608X55N","https://www.mouser.co.uk/datasheet/2/54/Bourns_CMP_Datasheet_05.28.20-1854233.pdf","","0.55","","Bourns","CMP0603-FX-1003ELF","","652-CMP0603-FX-1003L","https://www.mouser.co.uk/ProductDetail/Bourns/CMP0603-FX-1003ELF?qs=TiOZkKH1s2SZ50zoNdROqA%3D%3D"
"17","4","R11, R12, R13, R14","300R","SamacSys_Parts:ERJ-UP3F3000V","ERJUP3","https://industrial.panasonic.com/cdbs/www-data/pdf/RDP0000/AOA0000C337.pdf","","0.55","","Panasonic","ERJ-UP3F3000V","","667-ERJ-UP3F3000V","https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-UP3F3000V?qs=GedFDFLaBXGMAT9BybhSQA%3D%3D"
"18","1","U1","TMC6300-LA-T","TMC6300:TMC6300-LA-T","SamacSys_Parts:QFN40P300X300X90-21N","TMC6300-LA-T","","","","","","","",""
